Date/Time,DOE [day],Meso label,Temp descr,Treat pCO2 [µatm],Temp [°C],Sal,pCO2 [µatm],[NO3]- + [NO2]- [µmol/l],[NH4]+ [µmol/l],TDN [µmol/l],Si(OH)4 [µmol/l],O2 [µmol/l],POC/PON [mol/mol],POC/POP,PON/POP
2014-09-12T00:00:00,10,M8,cold,2500,13.2,19.0,2685.0,1.03,0.42,1.45,10.05,0.34,6.92,28.32,3.51
2014-09-13T00:00:00,11,M8,cold,2500,13.3,18.9,,,,,,,,,
2014-09-14T00:00:00,12,M8,cold,2500,13.4,18.9,,,,,,,,,
2014-09-15T00:00:00,13,M8,cold,2500,13.4,18.9,1742.0,0.36,0.39,0.75,6.94,0.29,6.48,39.51,5.22
2014-09-16T00:00:00,14,M8,cold,2500,13.4,19.0,,,,,,,,,
2014-09-17T00:00:00,15,M8,cold,2500,13.4,19.0,1354.0,0.55,0.46,1.01,7.62,0.29,6.22,28.25,3.9
2014-09-18T00:00:00,16,M8,cold,2500,13.3,19.0,,,,,,,,,
2014-09-19T00:00:00,17,M8,cold,2500,13.4,18.9,2433.0,0.5,0.4,0.9,8.14,0.22,6.44,23.57,3.14
2014-09-20T00:00:00,18,M8,cold,2500,13.2,19.0,,,,,,,,,
2014-09-21T00:00:00,19,M8,cold,2500,13.2,18.9,,,,,,,,,
2014-09-22T00:00:00,20,M8,cold,2500,13.1,19.0,2042.0,0.55,0.59,1.14,7.7,0.22,5.89,21.73,3.16
2014-09-23T00:00:00,21,M8,cold,2500,13.2,19.0,,,,,,,,,
2014-09-24T00:00:00,22,M8,cold,2500,13.1,18.9,2253.0,0.5,0.21,0.71,8.66,0.17,6.3,22.9,3.12
2014-09-25T00:00:00,23,M8,cold,2500,13.1,19.0,,,,,,,,,
2014-09-26T00:00:00,24,M8,cold,2500,13.1,19.0,1639.0,0.92,0.37,1.29,12.47,0.16,,,
2014-08-29T00:00:00,-4,M9,cold,3000,17.2,18.7,990.0,0.43,0.3,0.73,12.86,0.79,9.6,10.21,0.91
2014-08-31T00:00:00,-2,M9,cold,3000,15.4,18.9,,,,,,,,,
2014-09-01T00:00:00,-1,M9,cold,3000,15.8,18.8,355.0,1.18,1.13,2.31,18.0,0.65,6.95,53.99,6.66
2014-09-02T00:00:00,0,M9,cold,3000,15.7,18.9,,,,,,,,,
2014-09-03T00:00:00,1,M9,cold,3000,14.8,18.9,443.0,1.12,0.88,2.0,14.48,0.56,6.04,59.36,8.43
2014-09-04T00:00:00,2,M9,cold,3000,14.2,18.9,432.0,,,,,,,,
2014-09-05T00:00:00,3,M9,cold,3000,13.9,18.9,6556.0,2.32,0.42,2.74,13.06,0.5,6.1,81.02,11.39
2014-09-06T00:00:00,4,M9,cold,3000,13.7,18.9,,,,,,,,,
2014-09-07T00:00:00,5,M9,cold,3000,13.3,18.9,,,,,,,,,
